# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$m_{12}$ [GeV]
MainPlot=0
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}m_{12}$
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02 /./mY_300_mX_600/mY_300_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d26-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.017000e-02	2.008831e-03	2.008831e-03
2.500000e+01	5.000000e+01	1.618000e-01	2.914395e-02	2.914395e-02
5.000000e+01	7.500000e+01	3.253000e-01	4.012356e-02	4.012356e-02
7.500000e+01	1.000000e+02	6.374000e-01	6.812026e-02	6.812026e-02
1.000000e+02	1.200000e+02	6.040000e-01	5.863395e-02	5.863395e-02
1.200000e+02	1.500000e+02	4.712000e-01	4.447617e-02	4.447617e-02
1.500000e+02	1.800000e+02	3.686000e-01	3.551310e-02	3.551310e-02
1.800000e+02	2.000000e+02	2.868000e-01	2.765683e-02	2.765683e-02
2.000000e+02	2.200000e+02	2.224000e-01	2.023833e-02	2.023833e-02
2.200000e+02	2.500000e+02	1.747000e-01	1.679196e-02	1.679196e-02
2.500000e+02	2.800000e+02	1.405000e-01	1.415874e-02	1.415874e-02
2.800000e+02	3.000000e+02	1.123000e-01	1.190084e-02	1.190084e-02
3.000000e+02	3.200000e+02	9.127000e-02	9.921341e-03	9.921341e-03
3.200000e+02	3.500000e+02	7.434000e-02	8.226275e-03	8.226275e-03
3.500000e+02	3.800000e+02	6.162000e-02	7.027055e-03	7.027055e-03
3.800000e+02	4.000000e+02	5.124000e-02	6.111645e-03	6.111645e-03
4.000000e+02	4.500000e+02	3.826000e-02	4.423969e-03	4.423969e-03
4.500000e+02	5.000000e+02	2.782000e-02	3.474939e-03	3.474939e-03
5.000000e+02	5.800000e+02	1.903000e-02	2.722829e-03	2.722829e-03
5.800000e+02	6.800000e+02	1.181000e-02	2.033642e-03	2.033642e-03
6.800000e+02	8.000000e+02	6.392000e-03	1.146993e-03	1.146993e-03
8.000000e+02	1.000000e+03	2.834000e-03	5.270835e-04	5.270835e-04
1.000000e+03	1.200000e+03	1.319000e-03	3.028019e-04	3.028019e-04
1.200000e+03	1.400000e+03	5.965000e-04	1.458204e-04	1.458204e-04
1.400000e+03	1.600000e+03	2.466000e-04	8.628499e-05	8.628499e-05
1.600000e+03	1.800000e+03	1.239000e-04	3.081590e-05	3.081590e-05
1.800000e+03	2.000000e+03	4.648000e-05	3.921258e-05	3.921258e-05
# END HISTO1D

# BEGIN HISTO1D /./mY_300_mX_600/mY_300_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Path=/./mY_300_mX_600/mY_300_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Title=0.917933
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.018016e-02	2.008844e-03	2.008844e-03
2.500000e+01	5.000000e+01	1.620540e-01	2.914397e-02	2.914397e-02
5.000000e+01	7.500000e+01	3.257522e-01	4.012359e-02	4.012359e-02
7.500000e+01	1.000000e+02	6.380859e-01	6.812029e-02	6.812029e-02
1.000000e+02	1.200000e+02	6.049970e-01	5.863400e-02	5.863400e-02
1.200000e+02	1.500000e+02	4.723939e-01	4.447623e-02	4.447623e-02
1.500000e+02	1.800000e+02	3.704628e-01	3.551321e-02	3.551321e-02
1.800000e+02	2.000000e+02	2.898927e-01	2.765719e-02	2.765719e-02
2.000000e+02	2.200000e+02	2.265469e-01	2.023898e-02	2.023898e-02
2.200000e+02	2.500000e+02	1.811945e-01	1.679278e-02	1.679278e-02
2.500000e+02	2.800000e+02	1.517955e-01	1.416043e-02	1.416043e-02
2.800000e+02	3.000000e+02	1.347556e-01	1.190683e-02	1.190683e-02
3.000000e+02	3.200000e+02	9.675054e-02	9.923095e-03	9.923095e-03
3.200000e+02	3.500000e+02	7.506397e-02	8.226461e-03	8.226461e-03
3.500000e+02	3.800000e+02	6.214075e-02	7.027212e-03	7.027212e-03
3.800000e+02	4.000000e+02	5.165279e-02	6.111859e-03	6.111859e-03
4.000000e+02	4.500000e+02	3.859277e-02	4.424065e-03	4.424065e-03
4.500000e+02	5.000000e+02	2.802830e-02	3.475015e-03	3.475015e-03
5.000000e+02	5.800000e+02	1.919829e-02	2.722878e-03	2.722878e-03
5.800000e+02	6.800000e+02	1.191415e-02	2.033675e-03	2.033675e-03
6.800000e+02	8.000000e+02	6.448097e-03	1.147019e-03	1.147019e-03
8.000000e+02	1.000000e+03	2.860037e-03	5.270992e-04	5.270992e-04
1.000000e+03	1.200000e+03	1.329796e-03	3.028132e-04	3.028132e-04
1.200000e+03	1.400000e+03	6.022155e-04	1.458328e-04	1.458328e-04
1.400000e+03	1.600000e+03	2.491402e-04	8.629434e-05	8.629434e-05
1.600000e+03	1.800000e+03	1.251701e-04	3.082898e-05	3.082898e-05
1.800000e+03	2.000000e+03	4.775011e-05	3.922286e-05	3.922286e-05
# END HISTO1D

